AGNO;RBD;DGV_RBD;NOM_RBD;COD_DEPE;COD_DEPE2;RURAL_RBD;COD_REG_RBD;NOM_REG_RBD_A;COD_PRO_RBD;COD_COM_RBD;NOM_COM_RBD;COD_DEPROV_RBD;NOM_DEPROV_RBD;ESTADO_ESTAB;MAT_SI_1;MAT_HOM_1;MAT_MUJ_1;MAT_ENS_1;MAT_SI_2;MAT_HOM_2;MAT_MUJ_2;MAT_ENS_2;MAT_HOM_3;MAT_MUJ_3;MAT_ENS_3;MAT_SI_4;MAT_HOM_4;MAT_MUJ_4;MAT_ENS_4;MAT_SI_5;MAT_HOM_5;MAT_MUJ_5;MAT_NB_5;MAT_ENS_5;MAT_SI_6;MAT_HOM_6;MAT_MUJ_6;MAT_ENS_6;MAT_HOM_7;MAT_MUJ_7;MAT_ENS_7;MAT_HOM_8;MAT_MUJ_8;MAT_ENS_8;MAT_HOM_TOT;MAT_MUJ_TOT;MAT_SI_TOT;MAT_NB_TOT;MAT_TOTAL;MAT_CHI;MAT_EXT;MAT_NAC;MAT_NO_ETNIA;MAT_ETNIA;MAT_SI_INT;MAT_HOM_INT;MAT_MUJ_INT;MAT_NB_INT;MAT_INT_TOTAL;CUR_SIM_01;CUR_SIM_02;CUR_SIM_03;CUR_SIM_04;CUR_SIM_05;CUR_SIM_06;CUR_SIM_07;CUR_SIM_08;CUR_SIM_TOT;CUR_COMB_01;CUR_COMB_02;CUR_COMB_TOT;SLEP;NOMBRE_SLEP
2024;1019;7;ESCUELA BASICA CHILLEPIN                                                                                                                                                                                                                                       ;2;1;1;4;COQ  ;42;4204;SALAMANCA           ;43;CHOAPA                 ;1;0;19;15;34;0;97;86;183;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;116;101;0;0;217;203;14;0;214;3;0;33;24;0;57;2;8;0;0;0;0;0;0;10;0;0;0;;
2024;1020;0;ESCUELA BASICA GUISELA GAMBOA SALINAS                                                                                                                                                                                                                          ;2;1;1;4;COQ  ;42;4204;SALAMANCA           ;43;CHOAPA                 ;1;0;8;15;23;0;51;64;115;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;59;79;0;0;138;138;0;0;136;2;0;18;26;0;44;0;8;0;0;0;0;0;0;8;1;0;1;;
2024;1021;9;ESCUELA ZAPALLAR                                                                                                                                                                                                                                               ;2;1;1;4;COQ  ;42;4204;SALAMANCA           ;43;CHOAPA                 ;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
2024;1022;7;ESCUELA COIRON                                                                                                                                                                                                                                                 ;2;1;1;4;COQ  ;42;4204;SALAMANCA           ;43;CHOAPA                 ;1;0;6;7;13;0;36;26;62;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;42;33;0;0;75;75;0;0;74;1;0;0;0;0;0;0;2;0;0;0;0;0;0;2;1;2;3;;
2024;1023;5;ESCUELA BASICA EL TEBAL                                                                                                                                                                                                                                        ;2;1;1;4;COQ  ;42;4204;SALAMANCA           ;43;CHOAPA                 ;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
2024;1024;3;ESCUELA LLIMPO                                                                                                                                                                                                                                                 ;2;1;1;4;COQ  ;42;4204;SALAMANCA           ;43;CHOAPA                 ;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
2024;1025;1;ESCUELA LA HIGUERILLA                                                                                                                                                                                                                                          ;2;1;1;4;COQ  ;42;4204;SALAMANCA           ;43;CHOAPA                 ;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
2024;1027;8;ESCUELA BASICA QUELEN BAJO                                                                                                                                                                                                                                     ;2;1;1;4;COQ  ;42;4204;SALAMANCA           ;43;CHOAPA                 ;1;0;0;0;0;0;9;3;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;3;0;0;12;12;0;0;11;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;;
2024;1028;6;ESC.BASICA SANTA ROSA                                                                                                                                                                                                                                          ;2;1;1;4;COQ  ;42;4204;SALAMANCA           ;43;CHOAPA                 ;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
2024;1029;4;ESCUELA BASICA CUNLAGUA                                                                                                                                                                                                                                        ;2;1;1;4;COQ  ;42;4204;SALAMANCA           ;43;CHOAPA                 ;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
